time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm)
2024-01-01T00:00,21.3,0.3,98,4.3,100,0.3
2024-01-01T01:00,20.9,0.1,99,4.3,100,0.1
2024-01-01T02:00,21,0.1,99,4,100,0.1
2024-01-01T03:00,21.2,0.3,98,3.7,100,0.3
2024-01-01T04:00,21.4,0.2,96,4.6,100,0.2
2024-01-01T05:00,21.4,0.1,95,3.6,94,0.1
2024-01-01T06:00,20.6,0.1,96,3.7,99,0.1
2024-01-01T07:00,21.5,0.3,95,3.3,100,0.3
2024-01-01T08:00,23,0.1,90,3.8,100,0.1
2024-01-01T09:00,23.5,0.1,90,2.9,100,0.1
2024-01-01T10:00,24.8,0.1,85,6.4,100,0.1
2024-01-01T11:00,25.5,0.1,81,8.2,100,0.1
2024-01-01T12:00,25.6,0.2,80,9.7,98,0.2
2024-01-01T13:00,25.6,0.1,79,11.1,99,0.1
2024-01-01T14:00,25.2,0.2,81,12.2,98,0.2
2024-01-01T15:00,25,0.3,79,11.6,97,0.3
2024-01-01T16:00,24.8,0.1,79,8.9,98,0.1
2024-01-01T17:00,24.3,0.1,84,4.1,100,0.1
2024-01-01T18:00,23.5,0,89,4.9,92,0
2024-01-01T19:00,22.8,0,89,4.5,86,0
2024-01-01T20:00,22.5,0.1,90,2.3,88,0.1
2024-01-01T21:00,23.1,0.1,85,2.1,92,0.1
2024-01-01T22:00,22.7,0.3,88,1.1,100,0.3
2024-01-01T23:00,21.6,0.3,93,2.2,100,0.3
2024-01-02T00:00,22.4,0.3,92,2.9,100,0.3
2024-01-02T01:00,22.3,0.2,95,3.6,100,0.2
2024-01-02T02:00,22,0.1,96,2.9,100,0.1
2024-01-02T03:00,21.9,0.1,96,2.2,100,0.1
2024-01-02T04:00,21.9,0.2,96,1.8,100,0.2
2024-01-02T05:00,22,0.1,96,1.8,100,0.1
2024-01-02T06:00,22.1,0.1,96,2.1,100,0.1
2024-01-02T07:00,22.7,0.1,92,3.6,100,0.1
2024-01-02T08:00,22.9,0.4,92,5.7,100,0.4
2024-01-02T09:00,22.8,0.4,94,3.3,100,0.4
2024-01-02T10:00,23,0.4,92,1.4,84,0.4
2024-01-02T11:00,23.8,0.2,88,3.6,100,0.2
2024-01-02T12:00,24.7,0.1,85,5.8,100,0.1
2024-01-02T13:00,25,0,82,7.7,100,0
2024-01-02T14:00,24.6,0.2,82,6.4,98,0.2
2024-01-02T15:00,25.2,0.1,79,7,100,0.1
2024-01-02T16:00,24.6,0.3,81,7.2,100,0.3
2024-01-02T17:00,23.6,0.2,88,4,100,0.2
2024-01-02T18:00,22.8,0.4,94,3.3,100,0.4
2024-01-02T19:00,22.9,0.2,92,1.3,100,0.2
2024-01-02T20:00,22.7,0.1,95,2.9,100,0.1
2024-01-02T21:00,22.5,0.1,97,4.5,99,0.1
2024-01-02T22:00,22.4,0.1,96,3.6,90,0.1
2024-01-02T23:00,22,0,96,2.9,37,0
2024-01-03T00:00,21.6,0,96,2.9,43,0
2024-01-03T01:00,21.3,0,97,3.2,38,0
2024-01-03T02:00,21.1,0,97,3.3,46,0
2024-01-03T03:00,20.9,0,97,2.6,84,0
2024-01-03T04:00,20.8,0,96,2.3,95,0
2024-01-03T05:00,20.7,0.2,96,1.6,100,0.2
2024-01-03T06:00,21.1,0.3,95,2.3,99,0.3
2024-01-03T07:00,21.5,0,95,4.9,75,0
2024-01-03T08:00,23.2,0.1,86,2.6,58,0.1
2024-01-03T09:00,24.1,0,84,1.3,62,0
2024-01-03T10:00,25.1,0.1,81,6.2,95,0.1
2024-01-03T11:00,25,0.7,78,9.8,76,0.7
2024-01-03T12:00,24.7,0.8,79,9.1,62,0.8
2024-01-03T13:00,25.2,0,76,11.4,87,0
2024-01-03T14:00,24.1,0.7,80,8.5,98,0.7
2024-01-03T15:00,24.7,0.1,79,8.8,90,0.1
2024-01-03T16:00,23.6,1.5,79,8.3,93,1.5
2024-01-03T17:00,23.1,0.2,89,2.3,98,0.2
2024-01-03T18:00,22.5,0,90,4.3,87,0
2024-01-03T19:00,22.1,0,91,4.8,74,0
2024-01-03T20:00,21.5,0.4,93,3.1,97,0.4
2024-01-03T21:00,21.6,0.2,92,1.8,83,0.2
2024-01-03T22:00,21.1,0.4,94,3.2,100,0.4
2024-01-03T23:00,21.1,0.1,93,4,94,0.1
2024-01-04T00:00,20.5,0.2,95,5.9,100,0.2
2024-01-04T01:00,20.9,0.7,95,0.8,99,0.7
2024-01-04T02:00,20.6,0.3,96,2.4,100,0.3
2024-01-04T03:00,20.1,0.2,96,6.9,91,0.2
2024-01-04T04:00,20.1,0.3,96,5.4,100,0.3
2024-01-04T05:00,19.8,0.4,96,5,100,0.4
2024-01-04T06:00,19.7,0.6,97,5.8,81,0.6
2024-01-04T07:00,19.8,0.3,95,8.6,49,0.3
2024-01-04T08:00,21.6,0,89,5.8,90,0
2024-01-04T09:00,22.8,0,82,2.7,27,0
2024-01-04T10:00,23.9,0.3,77,2.9,40,0.3
2024-01-04T11:00,24.9,0.3,72,6.2,37,0.3
2024-01-04T12:00,25.3,0.2,71,9.3,47,0.2
2024-01-04T13:00,24.8,0.7,73,9.4,23,0.7
2024-01-04T14:00,24.6,0.7,74,9.9,37,0.7
2024-01-04T15:00,24.3,0.4,75,10.3,42,0.4
2024-01-04T16:00,24.1,0.1,75,9.8,59,0.1
2024-01-04T17:00,23.2,0,82,4.5,84,0
2024-01-04T18:00,23.1,0,77,5,64,0
2024-01-04T19:00,22.8,0.1,78,3.6,41,0.1
2024-01-04T20:00,20.8,0.1,92,6.4,29,0.1
2024-01-04T21:00,21.8,0.1,87,3,28,0.1
2024-01-04T22:00,20.5,0,93,2.5,34,0
2024-01-04T23:00,20,0.4,95,4.7,47,0.4
2024-01-05T00:00,19.5,0.2,98,6.1,80,0.2
2024-01-05T01:00,19.7,0,97,5.5,95,0
2024-01-05T02:00,19.3,0,97,3.3,64,0
2024-01-05T03:00,19,0,98,2.3,62,0
2024-01-05T04:00,19,0,97,3.7,38,0
2024-01-05T05:00,19.2,0,95,5.1,56,0
2024-01-05T06:00,19,0,94,6.2,99,0
2024-01-05T07:00,20.9,0,90,4.5,57,0
2024-01-05T08:00,22.2,0,85,4.4,22,0
2024-01-05T09:00,23.7,0.2,77,5.9,85,0.2
2024-01-05T10:00,23.9,0.4,78,8.2,67,0.4
2024-01-05T11:00,24.6,0.4,75,8.7,78,0.4
2024-01-05T12:00,25.4,0.2,71,8.4,84,0.2
2024-01-05T13:00,26.1,0,68,10.1,100,0
2024-01-05T14:00,25.7,0,66,10.8,99,0
2024-01-05T15:00,25.2,0,68,10.5,99,0
2024-01-05T16:00,24.6,0,71,8.4,99,0
2024-01-05T17:00,23.5,0,80,5.4,97,0
2024-01-05T18:00,21.8,0,89,6.2,79,0
2024-01-05T19:00,22.7,0,82,4.3,53,0
2024-01-05T20:00,21.9,0,90,2.2,100,0
2024-01-05T21:00,21.1,0.1,92,3.7,100,0.1
2024-01-05T22:00,21,0.1,94,3.6,100,0.1
2024-01-05T23:00,20.3,0,96,4.4,99,0
2024-01-06T00:00,20.5,0,93,3,100,0
2024-01-06T01:00,21,0.1,94,2.6,100,0.1
2024-01-06T02:00,21,0.1,94,2.6,100,0.1
2024-01-06T03:00,21.2,0.1,93,2.1,100,0.1
2024-01-06T04:00,21.1,0,94,2.9,100,0
2024-01-06T05:00,20.9,0,95,3.1,100,0
2024-01-06T06:00,21,0,94,3.3,100,0
2024-01-06T07:00,21.5,0.1,92,4.7,100,0.1
2024-01-06T08:00,22,0.4,92,4,100,0.4
2024-01-06T09:00,22.5,0.2,90,3.9,100,0.2
2024-01-06T10:00,23.2,0.1,86,5.4,100,0.1
2024-01-06T11:00,23.6,0.2,83,3.5,97,0.2
2024-01-06T12:00,24,0.5,82,3.3,97,0.5
2024-01-06T13:00,24.7,0.5,78,5.9,89,0.5
2024-01-06T14:00,23.8,0.1,81,7.9,95,0.1
2024-01-06T15:00,23.6,0.1,82,4.6,95,0.1
2024-01-06T16:00,23.7,0,81,4.8,78,0
2024-01-06T17:00,23.5,0,84,3.3,98,0
2024-01-06T18:00,22.9,0.6,85,4.8,100,0.6
2024-01-06T19:00,22.7,0.5,86,4.4,100,0.5
2024-01-06T20:00,22.4,0.9,90,2.9,92,0.9
2024-01-06T21:00,21.9,0.7,94,6.8,100,0.7
2024-01-06T22:00,21.7,0.3,94,4,90,0.3
2024-01-06T23:00,21.4,0.3,96,0.4,82,0.3
2024-01-07T00:00,21.2,0.2,94,1.1,99,0.2
2024-01-07T01:00,20.8,0.2,93,2.9,97,0.2
2024-01-07T02:00,20.3,0.1,95,5.1,100,0.1
2024-01-07T03:00,20.2,0,95,4.7,99,0
2024-01-07T04:00,20.4,0,95,3.6,100,0
2024-01-07T05:00,20.7,0,95,2.9,100,0
2024-01-07T06:00,20.2,0.1,96,2.2,95,0.1
2024-01-07T07:00,21.1,0.1,93,4.2,100,0.1
2024-01-07T08:00,22.3,0.2,85,1.3,89,0.2
2024-01-07T09:00,23.2,0,84,2.3,59,0
2024-01-07T10:00,24,0.1,81,4,100,0.1
2024-01-07T11:00,24.2,0.1,80,5.2,94,0.1
2024-01-07T12:00,24.3,0.3,80,6.4,92,0.3
2024-01-07T13:00,24.1,0.1,82,6.8,99,0.1
2024-01-07T14:00,24.1,0.2,81,6.5,98,0.2
2024-01-07T15:00,24.1,0.1,80,7.9,98,0.1
2024-01-07T16:00,23.8,0.1,79,8.3,100,0.1
2024-01-07T17:00,23.3,0.1,83,5.4,100,0.1
2024-01-07T18:00,22.8,0,91,3.6,100,0
2024-01-07T19:00,22.7,0.3,90,0.4,100,0.3
2024-01-07T20:00,22.3,0.1,92,4.8,100,0.1
2024-01-07T21:00,22.3,0.1,93,2.7,100,0.1
2024-01-07T22:00,22.2,0.4,95,1.1,90,0.4
2024-01-07T23:00,21.9,0.4,94,3.3,86,0.4
2024-01-08T00:00,21.5,0,94,3.2,44,0
2024-01-08T01:00,21.5,0.2,94,2.7,99,0.2
2024-01-08T02:00,21.3,0.3,95,3.3,99,0.3
2024-01-08T03:00,21.3,0,95,4.2,100,0
2024-01-08T04:00,21.4,0.1,95,3.1,99,0.1
2024-01-08T05:00,21.4,0,95,2.2,77,0
2024-01-08T06:00,21.4,0.1,95,2.2,53,0.1
2024-01-08T07:00,21.5,0,94,2.7,27,0
2024-01-08T08:00,22.8,0,85,1.6,38,0
2024-01-08T09:00,23.8,0.3,82,4.6,71,0.3
2024-01-08T10:00,24.1,0.2,81,5.2,97,0.2
2024-01-08T11:00,24.5,0.2,80,5.1,100,0.2
2024-01-08T12:00,24.6,0.1,79,5.6,99,0.1
2024-01-08T13:00,25,0.1,78,6.3,100,0.1
2024-01-08T14:00,24.8,0,78,6.6,100,0
2024-01-08T15:00,24.9,0,76,7.2,100,0
2024-01-08T16:00,24.6,0,76,7.6,98,0
2024-01-08T17:00,23.9,0,82,3.6,51,0
2024-01-08T18:00,24.1,0,75,3.5,26,0
2024-01-08T19:00,23.8,0,75,2.4,13,0
2024-01-08T20:00,22.5,0,87,2.5,33,0
2024-01-08T21:00,21.9,0,90,4,18,0
2024-01-08T22:00,21,0,94,4,19,0
2024-01-08T23:00,20.5,0,95,3.8,26,0
2024-01-09T00:00,20,0,95,3.8,22,0
2024-01-09T01:00,19.6,0,96,3.7,20,0
2024-01-09T02:00,19,0,98,3.7,42,0
2024-01-09T03:00,18.6,0,98,3.7,27,0
2024-01-09T04:00,18.4,0,98,2.9,6,0
2024-01-09T05:00,18.2,0,98,1.8,7,0
2024-01-09T06:00,18.2,0,97,1.5,10,0
2024-01-09T07:00,19.2,0,95,3,14,0
2024-01-09T08:00,22.5,0,85,0.7,82,0
2024-01-09T09:00,23.9,0,81,3.1,49,0
2024-01-09T10:00,25.3,0,75,5.4,52,0
2024-01-09T11:00,25.9,0.1,69,4.7,99,0.1
2024-01-09T12:00,25.9,0.1,72,4.8,100,0.1
2024-01-09T13:00,25.9,0.1,73,5.4,100,0.1
2024-01-09T14:00,26,0.1,74,8.3,92,0.1
2024-01-09T15:00,25.3,0,77,10.7,67,0
2024-01-09T16:00,24.6,0,80,8.4,44,0
2024-01-09T17:00,23.9,0,84,4.2,29,0
2024-01-09T18:00,23.4,0,83,3.2,29,0
2024-01-09T19:00,22.9,0,88,1.1,92,0
2024-01-09T20:00,23.3,0,88,1.8,95,0
2024-01-09T21:00,22.8,0,91,2.8,41,0
2024-01-09T22:00,22.7,0,90,2.7,38,0
2024-01-09T23:00,22.5,0,90,1.4,53,0
2024-01-10T00:00,22.2,0,92,2.9,87,0
2024-01-10T01:00,21.9,0,91,3.2,91,0
2024-01-10T02:00,22,0,91,2.8,100,0
2024-01-10T03:00,21.8,0,92,2.8,99,0
2024-01-10T04:00,20.6,0,95,3.2,90,0
2024-01-10T05:00,20,0,95,2.3,76,0
2024-01-10T06:00,19.8,0,95,2.6,22,0
2024-01-10T07:00,20.1,0,95,3.6,80,0
2024-01-10T08:00,22.9,0.2,88,1.5,36,0.2
2024-01-10T09:00,23.9,0.1,85,4.5,39,0.1
2024-01-10T10:00,24.8,0.1,81,4.4,64,0.1
2024-01-10T11:00,25.4,0.3,78,6.3,87,0.3
2024-01-10T12:00,25.7,0.3,76,7.8,59,0.3
2024-01-10T13:00,25.9,0.2,75,9.2,48,0.2
2024-01-10T14:00,25.9,0.4,75,10,93,0.4
2024-01-10T15:00,25.8,0.3,75,11.7,30,0.3
2024-01-10T16:00,25.1,0.1,77,11.2,39,0.1
2024-01-10T17:00,24.4,0.1,81,6.5,33,0.1
2024-01-10T18:00,22.7,0.1,89,5.4,49,0.1
2024-01-10T19:00,22.6,0.3,89,6,64,0.3
2024-01-10T20:00,23.1,1.2,92,3.8,96,1.2
2024-01-10T21:00,22.9,1.1,92,5.9,83,1.1
2024-01-10T22:00,22.9,0.5,91,4.4,89,0.5
2024-01-10T23:00,22.8,0.3,92,3.9,100,0.3
2024-01-11T00:00,22.6,1.1,93,3.6,100,1.1
2024-01-11T01:00,22.5,0.8,93,3.8,100,0.8
2024-01-11T02:00,22.5,0.7,93,3.4,100,0.7
2024-01-11T03:00,22.5,0.6,93,3.6,100,0.6
2024-01-11T04:00,22.4,1,93,3.9,100,1
2024-01-11T05:00,22.4,0.8,92,3.7,100,0.8
2024-01-11T06:00,22.3,0.5,92,3.6,100,0.5
2024-01-11T07:00,22.7,0.8,89,3.6,100,0.8
2024-01-11T08:00,22.8,0.5,86,9,100,0.5
2024-01-11T09:00,23,0.3,87,7.2,66,0.3
2024-01-11T10:00,23.7,0.1,84,7.5,42,0.1
2024-01-11T11:00,24.5,0.2,78,10.7,49,0.2
2024-01-11T12:00,25.5,0,72,11.3,54,0
2024-01-11T13:00,25.5,0,69,11.5,100,0
2024-01-11T14:00,25.3,0.1,72,12.4,100,0.1
2024-01-11T15:00,24.7,0,74,12.3,90,0
2024-01-11T16:00,24.4,0,76,11.2,68,0
2024-01-11T17:00,23.8,0,79,8.2,97,0
2024-01-11T18:00,23.1,0,82,5.2,100,0
2024-01-11T19:00,23,0.1,83,4.5,100,0.1
2024-01-11T20:00,23,0.7,85,4,100,0.7
2024-01-11T21:00,22.7,0.7,88,3.9,96,0.7
2024-01-11T22:00,22.3,1,90,3.9,100,1
2024-01-11T23:00,22.1,1.3,91,3.6,98,1.3
2024-01-12T00:00,22.1,1,92,4.5,94,1
2024-01-12T01:00,21.6,0.8,93,5.1,90,0.8
2024-01-12T02:00,21.2,0,93,4.4,85,0
2024-01-12T03:00,20.8,0,95,3.9,55,0
2024-01-12T04:00,20.8,0,94,4,100,0
2024-01-12T05:00,20.7,0,95,3,100,0
2024-01-12T06:00,20.2,0,96,3,100,0
2024-01-12T07:00,21.1,0,93,3.9,74,0
2024-01-12T08:00,22.7,0.1,86,0.7,28,0.1
2024-01-12T09:00,23.6,0.4,82,3.6,30,0.4
2024-01-12T10:00,24.2,0.6,80,5.6,45,0.6
2024-01-12T11:00,25,0.5,75,7.3,33,0.5
2024-01-12T12:00,25.6,0.2,71,9.4,24,0.2
2024-01-12T13:00,26,0,69,11.2,14,0
2024-01-12T14:00,26,0,67,11.2,29,0
2024-01-12T15:00,25.8,0,66,11.2,48,0
2024-01-12T16:00,25,0,70,10.8,36,0
2024-01-12T17:00,23.9,0,78,5.8,18,0
2024-01-12T18:00,22.5,0,83,6,15,0
2024-01-12T19:00,23.2,0,78,1.8,35,0
2024-01-12T20:00,21.4,0,89,2.2,36,0
2024-01-12T21:00,21,0,90,2.5,26,0
2024-01-12T22:00,20.8,0,91,4,34,0
2024-01-12T23:00,20,0,95,5.5,40,0
2024-01-13T00:00,19.7,0.2,95,4.8,58,0.2
2024-01-13T01:00,19.8,0.2,96,4.7,62,0.2
2024-01-13T02:00,19.8,0.1,96,5.1,52,0.1
2024-01-13T03:00,19.5,0,96,3.3,55,0
2024-01-13T04:00,19.6,0,96,2.3,100,0
2024-01-13T05:00,20.2,0,94,2.4,100,0
2024-01-13T06:00,20.8,0.1,93,2.3,100,0.1
2024-01-13T07:00,21.3,0.1,92,3.3,100,0.1
2024-01-13T08:00,22.3,0.1,87,0,71,0.1
2024-01-13T09:00,23.2,0.1,82,4.2,39,0.1
2024-01-13T10:00,23.9,0,78,7.2,57,0
2024-01-13T11:00,24,0.1,79,10.1,65,0.1
2024-01-13T12:00,24.6,0.3,76,11.3,71,0.3
2024-01-13T13:00,24.3,0.6,77,12.7,96,0.6
2024-01-13T14:00,24.3,1.8,76,11.9,47,1.8
2024-01-13T15:00,24.6,0.1,70,11.6,57,0.1
2024-01-13T16:00,24.4,0,69,9.2,55,0
2024-01-13T17:00,23.4,0,78,4.3,33,0
2024-01-13T18:00,23.3,0,72,5.4,20,0
2024-01-13T19:00,23.1,0,72,2.3,25,0
2024-01-13T20:00,20.8,0,84,3.4,19,0
2024-01-13T21:00,20.8,0,82,4,27,0
2024-01-13T22:00,20,0,87,5.1,35,0
2024-01-13T23:00,19.5,0,89,6.2,80,0
2024-01-14T00:00,19.3,0,90,2.5,100,0
2024-01-14T01:00,20,0.1,88,0.7,100,0.1
2024-01-14T02:00,19.8,0,89,2.2,100,0
2024-01-14T03:00,20,0,88,3,94,0
2024-01-14T04:00,20,0.1,91,2.9,100,0.1
2024-01-14T05:00,20.4,0.1,89,3.8,100,0.1
2024-01-14T06:00,20.3,0.1,93,3.3,100,0.1
2024-01-14T07:00,20.9,0.1,90,2.2,100,0.1
2024-01-14T08:00,21.7,0.2,88,3.2,100,0.2
2024-01-14T09:00,22.8,0,85,1.9,100,0
2024-01-14T10:00,23.7,0.2,81,4.9,89,0.2
2024-01-14T11:00,24.5,0.3,74,9.2,100,0.3
2024-01-14T12:00,24.8,0.3,73,11.1,74,0.3
2024-01-14T13:00,25.3,0.3,71,10.5,50,0.3
2024-01-14T14:00,25.2,0.2,70,9.5,51,0.2
2024-01-14T15:00,25.2,0,70,9.4,54,0
2024-01-14T16:00,24.7,0.1,72,9.3,46,0.1
2024-01-14T17:00,23.7,0,79,4.1,39,0
2024-01-14T18:00,23.4,0,77,4.4,28,0
2024-01-14T19:00,23,0.2,78,4.3,46,0.2
2024-01-14T20:00,21.4,0.1,88,3.4,98,0.1
2024-01-14T21:00,21.2,0.1,87,3.3,100,0.1
2024-01-14T22:00,20.8,0.1,92,2.9,94,0.1
2024-01-14T23:00,20.3,0.1,94,3.3,95,0.1
2024-01-15T00:00,19,0,97,4.9,97,0
2024-01-15T01:00,18.4,0,98,4.2,100,0
2024-01-15T02:00,18.7,0,97,3.3,100,0
2024-01-15T03:00,18.6,0,97,3.3,100,0
2024-01-15T04:00,18.9,0,96,4.7,96,0
2024-01-15T05:00,18.8,0,97,5,36,0
2024-01-15T06:00,18.9,0,97,5.1,28,0
2024-01-15T07:00,19.4,0,96,6.8,59,0
2024-01-15T08:00,21.7,0.1,89,4,49,0.1
2024-01-15T09:00,22.7,0.1,83,3.9,71,0.1
2024-01-15T10:00,23.6,0.1,81,1.1,91,0.1
2024-01-15T11:00,24.6,0.2,76,8.3,94,0.2
2024-01-15T12:00,24.3,0.1,76,9.9,62,0.1
2024-01-15T13:00,24.8,0.1,75,11.8,56,0.1
2024-01-15T14:00,24.9,0.1,74,12.2,46,0.1
2024-01-15T15:00,24.7,0,73,11.8,71,0
2024-01-15T16:00,24.2,0,73,11,70,0
2024-01-15T17:00,23.3,0.1,80,4.3,42,0.1
2024-01-15T18:00,22.4,0.2,84,5.1,56,0.2
2024-01-15T19:00,22.7,0.7,78,3.9,37,0.7
2024-01-15T20:00,21.2,0.5,90,3.6,37,0.5
2024-01-15T21:00,20.7,0.1,94,6.5,65,0.1
2024-01-15T22:00,20.2,0.1,95,5.8,53,0.1
2024-01-15T23:00,20,0,95,4.3,21,0
2024-01-16T00:00,19.5,0,96,3,52,0
2024-01-16T01:00,19.3,0,96,3.4,51,0
2024-01-16T02:00,19.8,0,95,3.4,29,0
2024-01-16T03:00,20.1,0,95,3.4,40,0
2024-01-16T04:00,19.5,0,95,4.1,100,0
2024-01-16T05:00,20.2,0,93,3.8,100,0
2024-01-16T06:00,20,0.1,95,2.9,100,0.1
2024-01-16T07:00,20.6,0.1,94,3.3,100,0.1
2024-01-16T08:00,21.1,0.5,88,1.3,77,0.5
2024-01-16T09:00,22.1,0.1,84,1.8,99,0.1
2024-01-16T10:00,23.4,0.3,79,3.8,63,0.3
2024-01-16T11:00,24.6,0.6,72,9.5,41,0.6
2024-01-16T12:00,25.1,0.1,69,11.4,60,0.1
2024-01-16T13:00,25.5,0.1,68,11.3,48,0.1
2024-01-16T14:00,25.7,0,66,10.1,47,0
2024-01-16T15:00,25.2,0,69,10.9,34,0
2024-01-16T16:00,24.1,0.1,75,9.1,35,0.1
2024-01-16T17:00,23.2,0.1,81,4.7,32,0.1
2024-01-16T18:00,22.5,0,82,4.3,83,0
2024-01-16T19:00,22.2,0.4,83,4,84,0.4
2024-01-16T20:00,20.9,0.1,91,1.5,45,0.1
2024-01-16T21:00,21.9,0.4,84,1.8,50,0.4
2024-01-16T22:00,20.2,0.3,94,2.5,29,0.3
2024-01-16T23:00,20.1,0.2,96,6.5,81,0.2
2024-01-17T00:00,19.9,0,97,6.9,93,0
2024-01-17T01:00,19.6,0,97,6.8,98,0
2024-01-17T02:00,19.5,0.1,97,5.8,100,0.1
2024-01-17T03:00,19.3,0,97,4,100,0
2024-01-17T04:00,19.5,0.1,96,4,99,0.1
2024-01-17T05:00,19.2,0,96,3.3,89,0
2024-01-17T06:00,18.9,0,96,3.3,92,0
2024-01-17T07:00,20,0,93,3.3,97,0
2024-01-17T08:00,22.4,0,89,2.6,97,0
2024-01-17T09:00,23.9,0,79,2,100,0
2024-01-17T10:00,24.6,0.2,77,5.1,89,0.2
2024-01-17T11:00,25,0.2,74,8.4,76,0.2
2024-01-17T12:00,25.3,0.1,72,10.4,85,0.1
2024-01-17T13:00,24.9,0,73,9.8,96,0
2024-01-17T14:00,25.3,0,71,9.7,97,0
2024-01-17T15:00,24.9,0,71,9.4,93,0
2024-01-17T16:00,24.5,0,73,8.7,97,0
2024-01-17T17:00,23.8,0,78,4.4,71,0
2024-01-17T18:00,23.1,0,78,5.1,43,0
2024-01-17T19:00,23.3,0,76,2.5,25,0
2024-01-17T20:00,22.4,0,86,1.8,76,0
2024-01-17T21:00,21.5,0,88,2.9,99,0
2024-01-17T22:00,21,0,89,3.2,70,0
2024-01-17T23:00,20.5,0,92,5.1,30,0
2024-01-18T00:00,20,0,93,5.8,29,0
2024-01-18T01:00,19.9,0,92,5.2,7,0
2024-01-18T02:00,19.7,0,92,4,10,0
2024-01-18T03:00,19.4,0,92,2.5,29,0
2024-01-18T04:00,19,0,93,1.6,31,0
2024-01-18T05:00,19.5,0,90,2.6,64,0
2024-01-18T06:00,19.6,0,91,5.4,83,0
2024-01-18T07:00,20,0,92,6.6,78,0
2024-01-18T08:00,22.2,0.1,86,3.9,82,0.1
2024-01-18T09:00,23.2,0,82,0.8,75,0
2024-01-18T10:00,24.3,0.2,80,5.4,99,0.2
2024-01-18T11:00,24.8,0.3,78,6.4,93,0.3
2024-01-18T12:00,24.8,0.1,77,4.6,78,0.1
2024-01-18T13:00,25.3,0.1,75,5.4,91,0.1
2024-01-18T14:00,25.8,0.1,73,7.8,82,0.1
2024-01-18T15:00,25.5,0,73,8.7,84,0
2024-01-18T16:00,25.1,0,76,9,97,0
2024-01-18T17:00,23.9,0,82,6.9,41,0
2024-01-18T18:00,22.1,0,89,4.6,100,0
2024-01-18T19:00,22.1,0,90,2.5,100,0
2024-01-18T20:00,22.5,0.1,91,2.3,95,0.1
2024-01-18T21:00,23.2,0,83,0.7,99,0
2024-01-18T22:00,21.4,0,92,1.8,61,0
2024-01-18T23:00,21,0.1,94,2.5,49,0.1
2024-01-19T00:00,20.5,0,95,3.2,32,0
2024-01-19T01:00,20.1,0,96,3.3,12,0
2024-01-19T02:00,19.4,0,97,2.9,70,0
2024-01-19T03:00,19.1,0,98,2.9,74,0
2024-01-19T04:00,18.5,0,98,3.6,100,0
2024-01-19T05:00,18.3,0,98,3.6,70,0
2024-01-19T06:00,18.1,0,100,4,99,0
2024-01-19T07:00,18.4,0,99,5.1,98,0
2024-01-19T08:00,21.8,0,93,3.6,11,0
2024-01-19T09:00,24.1,0,80,1.8,7,0
2024-01-19T10:00,25.5,0,72,3.1,29,0
2024-01-19T11:00,26.2,0,68,5.3,51,0
2024-01-19T12:00,26.6,0,65,5.9,44,0
2024-01-19T13:00,26.3,0,70,9.6,97,0
2024-01-19T14:00,25.3,0,76,10.6,8,0
2024-01-19T15:00,25.5,0,75,8.4,30,0
2024-01-19T16:00,24.9,0,77,8.7,100,0
2024-01-19T17:00,23.7,0,82,6.8,85,0
2024-01-19T18:00,23.1,0,82,3,100,0
2024-01-19T19:00,23.2,0,81,0.8,99,0
2024-01-19T20:00,23.1,0.1,82,2.9,99,0.1
2024-01-19T21:00,21.5,0,91,2.3,96,0
2024-01-19T22:00,21.1,0,94,3,95,0
2024-01-19T23:00,20.5,0,95,4.1,23,0
2024-01-20T00:00,20,0,96,4.7,43,0
2024-01-20T01:00,19.9,0,95,4.3,44,0
2024-01-20T02:00,19.7,0,95,4.1,17,0
2024-01-20T03:00,18.8,0,96,5.2,12,0
2024-01-20T04:00,18.3,0,97,4.7,4,0
2024-01-20T05:00,17.9,0,98,4,10,0
2024-01-20T06:00,17.5,0,98,4.3,20,0
2024-01-20T07:00,18.8,0,97,4.7,96,0
2024-01-20T08:00,22,0,89,1,36,0
2024-01-20T09:00,23.8,0.1,80,5.8,48,0.1
2024-01-20T10:00,25,0,73,5.7,90,0
2024-01-20T11:00,26,0,67,5.6,93,0
2024-01-20T12:00,27,0,61,6,97,0
2024-01-20T13:00,27,0,62,8.4,100,0
2024-01-20T14:00,25.9,0,71,12.4,100,0
2024-01-20T15:00,25.2,0,72,8.4,100,0
2024-01-20T16:00,24.5,0,71,7.2,100,0
2024-01-20T17:00,23.4,0,80,2.9,50,0
2024-01-20T18:00,22.9,0,76,3.6,61,0
2024-01-20T19:00,21.4,0,83,3.3,11,0
2024-01-20T20:00,20.3,0,90,3.8,98,0
2024-01-20T21:00,20.4,0,90,4,100,0
2024-01-20T22:00,19.2,0,95,5,100,0
2024-01-20T23:00,18.8,0,96,5,94,0
2024-01-21T00:00,18.6,0,96,4.3,98,0
2024-01-21T01:00,18.3,0,96,3.3,98,0
2024-01-21T02:00,18,0,97,3.6,100,0
2024-01-21T03:00,17.7,0,98,4,100,0
2024-01-21T04:00,17.6,0,98,4,53,0
2024-01-21T05:00,17.5,0,99,5.4,14,0
2024-01-21T06:00,17.2,0,98,5.8,68,0
